"Zeit","Ort"
1.0134,0.74329
0.99979,0.7648
1.0586,1.0923
0.94026,0.71872
0.95555,1.2228
1.0502,1.2251
0.97957,1.1678
0.92288,0.91677
1.2284,1.0552
0.98581,0.77417
1.0446,1.0871
1.0445,1.4152
0.97677,0.94417
1.0194,1.1777
1.284,1.1918
0.9956,0.88565
0.96866,0.73776
0.93895,1.1671
0.88167,1.0579
1.0104,1.0577
0.9343,1.0634
0.73753,1.0242
0.93902,0.91811
1.1074,0.77084
1.0465,1.2877
1.0164,0.79754
1.1332,1.2995
1.1694,1.1675
0.99894,1.1586
1.1266,0.65597
0.92298,0.72545
0.96381,1.0119
0.8442,1.2198
0.9595,1
0.99652,1.0591
1.2362,0.91832
1.0052,1.062
0.78391,0.86889
0.93543,1.2675
0.91115,0.9786
0.99286,0.99963
1.1423,1.2347
0.89255,0.83461
1.0127,1.4286
0.93473,1.1141
0.85806,1.2952
1.0773,0.91608
0.90645,1.2389
1.0604,1.0682
0.9479,0.90526
0.91427,0.94613
0.89358,1.1153
0.90903,1.1744
1.0198,1.1317
1.0276,1.1352
1.1153,1.2332
0.97344,1.3565
1.0749,0.98378
1.1135,1.2006
0.90028,0.98594
0.94488,0.86169
1.1659,0.88348
1.0379,1.6108
0.94541,0.99887
0.95397,0.66379
0.99248,0.97756
0.88104,1.3554
1.1592,1.1483
0.99856,1.0698
0.9658,1.3273
1.0695,0.99513
0.88943,1.0492
1.0488,0.77062
1.1383,0.9728
1.1226,1.0825
0.98047,1.1982
1.0888,0.60266
1.0087,0.98399
1.007,0.96346
1.0646,0.68081
0.91097,0.92808
1.1207,1.1956
0.93063,1.3496
1.0165,0.91338
0.85742,0.4959
1.0495,1.2991
0.82187,1.1624
0.80864,0.91707
1.1312,1.2694
0.93499,1.1244
0.87048,1.0359
1.0189,0.80154
1.1264,0.99624
0.94805,1.4326
0.96024,0.73223
0.99558,1.3135
0.9153,0.74926
1.0577,1.5676
1.0258,1.237
1.0133,0.76762
0.94689,0.90108
1.0233,0.82737
1.1551,0.9959
1.0961,1.0519
0.93118,1.0085
0.80903,0.97009
1.0233,1.326
1.1339,1.0963
1.0997,1.2484
0.88334,1.0595
0.94485,1.018
1.0442,1.0226
0.95579,0.96152
0.99568,0.98371
1.0229,0.8899
1.0855,0.96001
1.1005,1.3359
0.83101,1.1054
0.8939,0.77479
1.0617,0.64747
0.84274,0.98524
0.93116,1.0198
0.9914,0.75197
0.76326,0.90237
0.95963,1.2525
0.98682,1.2954
1.074,1.398
0.95465,1.1027
0.86509,0.87626
1.0148,1.476
1.0177,0.85749
0.99729,1.0085
0.92923,0.85974
1.059,1.042
1.0348,1.0513
0.96318,1.2163
0.98848,1.0705
1.0558,1.1661
1.0133,1.2601
1.0337,1.1913
1.0958,0.81249
1.2196,1.1792
1.0746,0.96497
1.0603,0.53484
0.96623,0.86091
1.1229,0.4519
1.0113,1.3848
0.95271,1.3099
1.0007,0.85147
0.96145,0.76461
1.1047,1.0854
1.0104,1.026
0.95273,0.95058
0.91948,1.0252
1.2083,0.76685
1.0083,1.1793
1.0543,1.3191
0.99203,1.1598
1.0627,0.87245
1.1058,0.97498
1.0773,0.81936
0.9082,1.3833
1.008,0.3313
1.0981,0.99514
1.0162,0.82854
0.8932,1.4997
0.93059,0.51437
1.3145,1.1376
0.99872,1.0066
0.82051,1.18
1.1124,1.2164
1.1748,1.069
1.0507,0.93122
1.0506,1.0953
1.2178,0.91713
1.0517,1.095
0.98705,1.2765
0.88491,0.65255
1.0755,1.1668
1.1019,1.1189
1.1118,0.82639
1.0065,0.76919
0.94422,1.0427
1.014,0.74797
1.0043,1.3867
0.96209,0.99319
0.99309,1.0482
0.9891,1.161
1.0657,1.0659
0.98233,1.0695
1.0641,1.0841
0.97704,1.0619
1.1628,0.60316
0.91604,0.90222
1.0556,0.99159
0.97416,0.88773
0.86014,0.93862
0.90161,0.79863
0.99879,1.1047
1.0338,1.2586
1.1043,0.80216
0.7667,1.071
0.84587,0.69346
1.0348,0.85685
1.0449,1.0331
0.98697,0.94682
0.92395,1.1758
1.2665,0.97425
1.197,0.66394
0.94878,1.0613
1.0274,1.0038
0.95536,0.96848
0.79049,0.82479
1.153,0.89364
1.0677,0.89487
0.9308,0.82077
0.94715,0.96328
1.0331,1.1515
1.0574,1.3038
0.8886,0.93517
0.92349,1.2839
0.90499,1.1624
0.93495,0.84946
0.9899,0.89322
1.1828,0.99947
0.83145,0.79625
0.94443,1.1418
0.89507,1.1209
0.94218,0.76456
1.0549,0.5058
1.0048,1.2703
1.231,1.0905
1.0213,0.93944
1.0419,1.0955
1.0679,1.0565
0.95479,1.1177
1.0058,1.0925
1.1327,0.65379
1.0257,1.1714
1.0243,0.91565
0.98838,1.1912
0.94832,1.1121
1.0845,0.86068
0.9808,0.71853
1.0262,0.73605
0.95271,1.3873
0.88664,0.97719
1.1735,0.95948
1.1024,1.1431
1.053,1.093
1.0266,0.72893
0.93651,0.96442
0.871,1.049
0.88845,0.8691
0.90141,1.2986
0.97657,0.69864
0.83973,1.0399
0.90793,1.2165
1.0045,1.0763
1.07,0.97068
0.91674,1.099
1.0485,1.0057
1.0712,0.94186
0.91878,0.64196
0.97189,0.99851
0.77505,0.86467
0.86438,1.0394
0.99923,0.89143
0.98576,1.1706
0.9335,1.0738
1.1405,1.3144
1.0494,0.80671
1.0549,0.85539
0.93905,0.94369
0.98778,1.1845
1.1382,1.3102
0.95968,1.1274
1.0074,1.1201
1.0259,1.3039
1.0953,1.2158
1.1105,1.1279
0.96862,1.2163
1.0947,1.2998
0.80788,1.2438
0.78816,0.84755
1.1151,0.50853
1.0369,1.0465
0.82926,1.195
0.84518,1.1264
1.1347,0.80284
0.8978,1.0447
0.90015,1.4855
0.95747,0.95947
0.99619,1.047
0.99533,1.0136
1.2186,0.89195
1.0949,1.1094
1.0245,1.277
0.97231,1.3857
0.98088,0.89276
1.101,1.2508
1.1181,0.7775
0.90658,1.1308
0.96762,1.2647
0.93393,1.3872
1.2362,0.97893
0.99375,1.2873
0.88939,0.86875
1.0358,1.1295
0.95677,0.87739
1.0099,1.1253
0.96169,1.1079
1.0914,1.0272
1.164,1.1109
0.93379,1.1225
0.98206,0.79936
0.92451,0.76168
1.2122,0.89415
0.93212,0.89508
1.0481,1.2053
0.96128,1.4399
0.82441,0.77933
0.99989,0.73807
1.0686,1.0896
0.91267,0.75471
1.0097,1.3534
0.93372,0.65484
0.89796,0.80736
1.0295,1.0868
1.1162,1.105
0.98646,0.86321
1.056,1.0452
1.0233,0.98329
1.1155,1.0476
1.1075,1.1506
0.83977,1.0527
0.92215,1.1529
0.91774,1.0123
1.1605,0.95033
1.1642,1.2669
1.01,0.34384
0.89673,1.0319
1.1116,1.2156
1.0551,0.71005
1.0148,1.1574
1.0524,0.95614
0.97347,1.1936
1.0005,0.79328
0.9775,0.92403
0.94456,0.58151
1.0515,0.97226
1.054,0.75288
0.90742,1.0533
1.272,0.9288
1.0893,0.65558
1.0848,0.93485
0.98831,1.094
1.2192,1.1262
1.2021,1.4125
0.82845,1.0054
1.0109,0.87256
0.9435,0.80411
0.73162,0.72662
0.9288,0.9925
0.96324,0.90625
0.88703,1.0943
1.0043,0.96468
0.91524,1.2293
1.1826,1.34
0.97891,0.62221
1.0824,0.48908
1.0748,1.098
1.0507,0.70608
1.0158,0.96041
0.92582,0.82434
0.95026,0.98542
0.94546,0.93503
1.0968,1.1748
1.0859,0.80465
1.1443,0.98793
1.0104,0.79012
1.0932,0.90885
1.0803,1.1151
1.1002,1.1337
1.0762,0.63385
1.02,1.0303
1.0456,0.59776
0.99818,0.75313
0.99038,1.0241
0.9547,1.1038
1.1212,1.1213
1.0703,1.1387
0.91658,0.92557
1.1012,1.3465
0.95114,0.98059
0.99532,0.66579
1.1156,1.0254
1.0668,1.1246
1.0395,0.96151
0.85914,0.82546
0.94795,0.86207
1.0841,0.83259
1.1573,0.99016
0.92155,1.1221
0.93399,0.67556
0.84856,1.0862
0.88433,0.92398
0.84974,1.3547
0.94707,1.0914
1.1106,1.168
1.0077,1.1407
0.80534,0.88807
1.0281,0.96708
1.1421,0.8368
1.0928,0.79828
0.82799,1.172
0.9998,1.1922
1.2171,1.2896
1.011,1.1079
0.75378,1.0248
0.90893,0.72477
0.86066,0.71051
0.9395,1.0129
0.90392,0.63319
1.2189,0.94584
1.0013,0.99817
1.023,1.0318
1.1334,0.79291
0.95386,1.3899
1.0903,1.0417
0.81825,1.1128
0.92888,0.93905
1.1284,0.78657
1.178,0.83972
0.99594,1.1105
0.94872,1.1051
0.98787,0.78083
1.0536,0.78017
1.2353,1.1151
1.1205,0.81253
0.88698,0.82726
1.0509,0.79119
0.89037,1.2386
0.95099,0.85995
0.92891,1.0467
1.0187,0.95811
0.89073,0.91488
0.99193,1.0437
0.94599,0.62118
1.0818,0.90874
1.0526,0.90363
1.0214,1.0096
1.0514,1.1436
1.0235,0.82299
0.96992,1.1968
0.87343,0.92871
0.81502,1.0678
0.96162,0.97604
0.90763,0.78148
0.93344,0.73665
1.0848,0.79456
1.3122,0.94912
0.95214,1.1704
1.1228,1.079
1.1849,1.1835
0.98813,1.1227
1.1066,1.0021
1.0446,0.71909
1.1181,0.82137
1.0156,1.2728
1.0117,0.97532
1.1186,1.0227
1.0169,0.73974
1.1429,0.97042
0.98684,1.3013
0.96663,1.2792
1.052,0.86675
1.0133,1.3726
0.88643,0.9021
0.96078,1.1515
0.83314,0.86777
0.94475,0.99698
1.152,0.58691
0.93122,0.99233
1.0758,1.1118
0.93651,0.60375
1.0631,0.95237
1.0031,0.73953
0.97591,1.1139
1.0305,1.1847
1.0239,0.97896
0.98772,0.86349
0.99101,1.0937
0.92871,1.4714
0.96896,0.98514
0.96044,0.89735
1.1195,1.1121
1.0216,1.1122
1.1004,0.98009
1.068,0.82146
0.98079,0.9459
0.81797,1.0199
0.91331,0.90346
1.1653,1.2153
0.95963,0.73208
0.87305,1.3739
1.0509,1.1135
1.1132,0.99432
1.1056,0.70285
0.89136,0.90663
1.0611,0.90467
1.0516,1.3256
0.9919,1.1794
0.8912,0.84565
1.0872,0.80879
1.0471,0.95487
1.0457,1.1979
0.84179,1.2048
0.91768,1.0568
0.93695,0.88561
1.0014,0.88385
1.0366,0.76264
1.0587,0.94253
1.0401,0.86997
1.0891,0.97756
0.82597,1.523
1.0518,0.84707
1.0193,0.90633
0.95265,0.96201
1.0171,1.0352
1.0876,1.1862
1.0998,0.97832
1.0533,1.1203
1.0184,1.1461
0.88042,0.96634
1.0576,1.2348
1.0169,0.91574
1.0303,0.60361
1.0023,1.3153
1.0491,0.79048
0.79062,1.5333
1.0792,0.88971
1.0603,1.0632
0.87279,1.1661
1.0177,1.0362
1.0416,1.3302
0.84742,0.84194
0.95779,0.99416
1.0456,1.1082
1.1883,0.84033
1.0714,0.97053
1.008,1.0992
1.0359,0.963
0.97702,1.2244
1.0424,1.1268
0.94532,0.68485
1.0923,1.237
0.77673,1.0743
0.92508,1.241
1.0747,1.15
1.0296,1.3546
0.86869,1.0597
0.98303,0.73341
0.94007,0.78232
1.0516,0.64664
1.0186,1.1043
0.85497,0.6861
1.0579,1.14
1.1236,0.91199
0.90976,0.96323
1.1052,1.1325
1.0661,0.93665
1.0477,0.88525
1.0834,0.97516
1.0189,0.62543
1.1127,0.85797
0.92165,0.72224
1.1478,0.97248
0.90061,0.74754
1.1458,0.91292
1.0319,1.1424
0.92309,1.1549
1.071,1.1123
0.97381,1.0415
1.141,0.78631
1.1409,0.81312
0.99652,0.80654
0.88279,1.1156
1.0634,1.1437
0.99485,1.2145
0.86195,1.1569
0.746,0.96634
0.92021,0.66907
1.0112,1.0189
0.91879,1.0166
0.98951,1.0494
0.96483,0.93047
1.0869,0.74912
1.0158,1.2212
0.93879,1.6699
0.81844,1.1997
0.9771,1.2911
0.98113,1.038
1.1733,1.0093
0.9247,1.0524
0.94566,1.0393
0.93534,1.1703
1.0122,1.0311
0.88806,1.0716
0.93527,1.1715
0.88781,0.61708
1.0506,1.1259
0.97888,1.0625
0.92236,1.426
1.0905,0.61233
0.94417,1.1096
1.0678,0.72183
1.0105,1.4215
0.89756,1.0653
0.94609,1.1305
0.84882,0.87287
0.99978,1.0882
1.0464,1.3192
1.0575,0.90081
0.85267,0.68485
0.90365,1.0848
0.92005,0.92534
0.87195,1.2292
0.94745,1.0195
1.116,0.8398
1.1373,1.0187
0.98519,0.76417
0.80302,1.0448
1.0897,0.86506
0.96624,0.82809
0.83615,1.0302
0.94126,0.85406
0.9449,0.65412
0.83182,1.0777
0.91508,0.9319
1.1202,0.99037
0.8442,1.0542
0.98747,1.1987
0.91352,1.0428
1.0315,1.1768
0.70828,0.98828
1.0822,0.88539
1.2225,0.8803
0.88003,1.2664
0.85534,1.2018
0.95533,0.68753
1.088,1.1718
1.106,0.81761
0.89311,0.96367
0.92168,0.99674
1.1501,1.1919
1.0433,0.94067
1.0078,0.72469
1.0318,1.0364
0.87374,1.0315
0.89886,0.89705
1.1062,1.1817
1.1114,1.0903
1.0062,0.91426
0.92769,0.85048
1.0826,1.2292
0.87462,1.0435
0.99039,1.0052
1.0311,0.9311
1.0893,0.9271
1.0323,1.2262
1.1117,1.0887
0.94947,1.0064
0.86434,1.0829
1.0794,1.1919
1.1422,1.0236
1.03,0.82795
1.0368,0.67277
0.9895,1.1606
0.98813,0.86756
0.97253,0.99371
0.88563,1.1193
1.0204,1.569
1.0348,0.77891
1.0399,1.2409
0.87757,0.74517
0.83002,0.99424
0.99171,0.77383
0.90349,1.1455
1.0283,0.57166
0.96946,0.87466
0.91766,1.0367
1.0299,1.0943
0.93819,1.1059
0.99059,1.0446
0.96458,1.1678
1.0261,1.2456
1.0597,0.75992
0.96942,1.1164
0.93506,0.75868
0.86185,0.55731
0.98681,1.0343
0.9881,0.85065
1.1142,0.68171
1.0858,0.89387
1.1545,1.2106
1.1781,0.9477
0.90719,1.2263
0.93276,0.49409
1.0477,1.0157
1.0173,1.3205
1.1197,0.81902
1.0978,0.81893
1.1071,1.2395
0.93702,0.82572
0.87518,0.92501
0.95258,1.2331
1.0847,0.66876
1.1081,0.72397
0.95614,0.78687
1.0583,0.98062
1.0163,1.2672
1.0346,0.89523
1.0826,1.0573
1.0029,0.99236
1.0684,1.1607
0.99135,0.76373
0.97294,1.0226
1.0953,0.87316
0.88292,1.2357
1.0939,0.90253
0.91995,1.0568
0.92044,1.054
0.97724,1.0579
1.0054,1.2863
1.0156,0.8457
0.9455,1.0164
1.1003,0.94076
0.90687,0.67131
1.096,1.1464
1.0838,1.0452
1.191,1.0543
1.071,1.0158
1.0585,0.90792
0.85696,1.1802
1.0596,0.80613
0.93109,0.81056
0.93053,0.85448
0.92985,0.95453
1.1314,1.289
1.0394,1.0457
1.1601,0.95777
0.86548,1.3296
1.1597,1.3724
1.0388,1.3264
0.80327,1.0902
1.0342,1.0564
1.0546,0.74478
1.0072,1.0489
0.79111,0.93952
0.94602,1.0095
0.90995,1.058
1.0153,1.2158
0.93161,1.1186
1.1777,0.88365
1.0096,1.0181
0.91207,0.87322
1.1196,0.99911
0.8794,0.81405
1.2249,0.84813
1.05,1.5158
1.1878,0.86811
0.97232,0.85219
1.0814,0.87378
0.8732,0.92458
0.85201,0.71424
0.87401,0.92984
1.0207,1.0882
0.82412,1.2375
0.96783,0.95848
0.91557,0.78865
0.85381,0.41834
0.96337,1.2065
0.85745,1.2397
0.96909,1.2129
0.90145,0.98072
0.89363,1.0897
1.1245,1.2009
0.93588,1.0619
0.80315,0.71488
1.1465,1.3322
1.0677,0.85278
1.1121,1.1773
0.99566,1.3667
0.98443,1.1731
0.99144,1.1707
1.1511,0.62128
0.85027,1.2293
1.053,1.2033
1.0897,0.85397
1.1637,0.84258
1.0514,1.1602
0.77092,0.84467
1.0738,1.2091
0.82573,1.2116
0.89848,0.93723
1.164,0.98263
0.96328,1.1825
1.1179,1.0666
1.0482,0.9173
0.92729,1.135
0.82849,0.90909
1.1123,1.0942
1.0579,1.4818
1.0626,0.77607
1.0682,0.97051
0.9333,0.86904
1.0283,0.71227
1.0156,1.5794
0.88075,1.0823
1.0859,1.1018
0.80431,0.96349
1.0044,0.79602
1.0629,0.62527
0.97737,0.71209
1.0736,1.0814
1.0945,1.13
0.96992,0.81725
1.1086,1.0216
0.99766,0.76656
1.0887,1.0378
1.0792,1.0561
0.949,0.92471
1.0732,0.85811
1.0498,1.0459
1.1587,1.1087
1.0249,1.0118
0.9307,1.235
0.90344,0.673
0.95174,0.79994
0.80331,0.84195
1.0091,0.96318
1.006,1.1114
0.97293,1.0435
1.0686,1.2039
1.0148,1.2487
1.125,0.60135
0.93207,1.141
1.0809,1.2946
1.0476,0.82865
0.88679,0.75345
1.0057,0.7825
0.81804,0.7466
1.1307,1.0186
1.1164,0.82354
1.0408,0.86086
0.94081,1.1515
1,0.73648
1.0167,0.64916
1.0955,0.78408
0.88674,0.50494
0.88318,1.2074
0.91679,1.0134
1.1037,1.1135
0.81064,0.69796
1.0686,1.131
1.1374,1.1029
0.84691,0.79676
0.91744,1.1836
1.0854,0.59309
1.1298,0.80116
0.9985,0.67244
0.87379,1.2258
0.89231,0.94127
1.0044,0.60345
0.87039,1.1563
0.96102,1.2149
0.94449,0.77416
1.0183,1.0417
0.87983,0.85109
1.0681,0.98414
1.0438,0.7814
0.8792,1.0248
0.98552,1.3201
1.0134,1.2602
0.94974,1.3242
1.0008,0.67492
1.1265,0.5822
1.1343,1.1464
1.1592,1.0807
0.94401,0.89858
0.83705,0.526
1.0183,1.2328
0.91156,0.8593
0.96616,0.69229
1.1123,0.48783
1.0068,0.92551
1.0252,1.2895
1.1453,1.1549
0.87714,1.1154
0.96801,0.82273
0.8765,1.183
1.0623,0.86819
1.1742,1.0192
1.1798,1.1126
1.0854,0.97531
0.79632,1.2284
0.87619,1.2278
0.89207,0.95484
0.96611,0.85122
0.88779,0.99577
1.1675,1.0062
0.7835,1.0093
1.0565,0.97031
1.0356,1.1384
1.0622,1.01
0.86632,1.0284
1.1466,0.85763
1.0144,1.1137
0.92318,1.0325
1.0649,0.82455
0.8974,0.89278
1.0367,0.6809
0.92528,1.0813
0.97766,1.0743
0.9183,1.0509
1.1584,0.63474
0.87858,1.1512
0.87287,0.88962
0.81568,1.1626
0.90755,1.1591
0.85359,1.0458
1.1191,0.85859
0.80928,1.0817
0.90385,1.0508
0.92875,1.3625
0.90861,0.99222
1.1605,1.0792
1.0131,0.71537
0.94079,0.85517
1.0763,0.92335
1.0274,1.1807
1.031,0.79429
1.1108,1.1979
1.048,1.1367
1.0164,0.9203
0.90263,1.1226
0.99942,0.99264
0.96933,0.73577
0.96635,1.1054
0.99971,1.1493
1.0749,1.0546
1.0225,1.0475
1.0376,0.93282
1.0035,0.7959
1.0559,1.1821
0.99392,0.96123
1.0306,0.75276
1.0643,0.85718
1.123,0.99641
0.85611,0.76299
1.1381,1.4124
0.81884,1.1528
0.95556,0.79325
0.94849,1.0034
0.82827,1.22
0.95129,1.2404
0.82951,0.90148
1.0682,1.1146
0.97364,1.1491
0.99685,0.84765
1.0471,0.92802
1.0959,1.0749
0.93657,1.1747
1.1463,1.1127
0.97439,0.91331
1.0333,1.1358
1.0354,1.2885
1.0562,0.621
0.94434,0.74914
1.0699,1.126
1.0083,1.1825
1.0319,1.3679
1.0264,1.0287
0.91546,0.8523
1.0654,1.2015
0.96378,1.0671
1.0731,1.2443
1.0437,1.2394
1.0691,1.009
1.0812,1.2599
1.1764,0.9228
0.87899,0.83817
1.0572,1.0598
0.90831,0.99994
0.87495,0.99948
0.95097,0.86355
0.93887,1.3357
1.0265,1.0473
0.94755,1.1278
0.91771,0.71468
1.1364,1.009
0.95761,1.1247
1.0723,1.1893
0.99901,1.0325
0.98466,0.90896
1.049,1.3057
1.148,0.63922
0.98756,0.79016
1.1935,1.4194
1.1912,0.5005
0.99915,1.261
1.1481,1.013
0.89814,0.91313
1.0158,0.94404
0.93035,1.2935
1.1002,1.098
1.119,0.75047
0.96857,0.87792
0.99816,1.04
1.0599,1.2039
1.0825,0.88002
0.883,1.1626
1.053,0.971
1.0666,0.75738
1.0734,0.89826
1.0569,0.91768
0.95645,0.97344
0.98415,0.92553
0.93189,1.0133
1.0105,1.0394
0.95709,0.77825
0.94832,1.017
0.9861,0.80725
0.94746,0.83867
1.1161,1.0612
0.97595,0.78756
1.1135,1.1818
0.83427,1.0227
1.185,0.89299
0.97433,1.4233
1.0768,1.055
0.90056,1.0203
0.90302,1.1258
0.96036,0.90854
1.0117,0.91906
0.88604,1.0188
1.1269,1.0734
1.0217,0.82151
0.93248,0.75372
1.149,0.85574
0.8137,1.1767
0.98729,0.90565
1.0372,0.99824
1.2892,1.199
1.0281,0.47815
1.1155,0.73101
0.95132,0.72657
1.0308,0.65205
0.96681,1.0612
0.99587,1.3444
0.96847,1.418
0.98534,0.6967
1.0073,0.68088
1.0063,0.90472
1.0272,0.99393
0.98107,1.2415
0.89115,1.2455
1.0593,0.50779
0.91238,1.116
1.0853,0.81112
0.74833,1.0225
0.83833,1.043
0.98362,1.0174
1.1323,1.2651
1.1489,1.0189
0.89702,0.74954
0.88678,1.1598
0.87139,0.72052
0.93626,1.0601
1.0192,0.73131
1.0296,1.1936
0.94435,0.83341
1.033,0.88187
1.0585,0.96859
1.0853,1.0414
1.0954,0.79702
1.1048,1.437
0.98873,1.2982
1.0822,0.66624
0.78292,0.91269
0.99091,0.78859
1.1728,0.96465
0.89523,0.89326
0.99566,1.3233
0.82379,0.89598
0.95225,1.0854
0.89232,0.8812
0.91533,1.0703
1.0349,1.1121
0.97391,0.68107
0.86718,0.94128
0.96331,0.75831
0.90599,0.88243
1.0526,1.0349
1.1546,1.0992
1.0065,0.99129
0.97189,0.86481
1.0812,0.84559
0.85005,0.93299
1.0312,1.256
1.1042,0.95518
1.0338,0.9462
0.91021,1.0604
0.96448,1.0953
1.0602,0.84026
0.98057,0.77222
0.98647,0.93226
1.093,0.65352
1.0649,0.91531
1.1445,1.0891
0.95595,1.2017
0.94094,1.0529
1.1228,1.2493
1.0971,0.9764
1.1594,1.1589
0.97418,1.2627
1.114,0.92142
1.2901,1.0613
0.87197,0.93152
1.0844,1.2868
1.1341,0.96872
1.0484,0.946
1.0881,1.0923
1.154,0.96808
1.1479,1.0487
0.92136,0.75239
0.99223,1.0749
0.8032,1.1448
1.2741,1.0277
1.0157,0.94643
1.0364,0.70853
1.0586,1.2479
1.0502,0.98625
1.0891,0.76382
0.96881,0.49169
0.86867,0.67735
1.0426,1.088
1.0255,0.85196
1.0683,0.95912
0.99528,1.0946
0.93889,1.1263
1.0861,0.76187
0.90266,1.1534
1.0507,0.83847
1.088,0.94552
0.95225,0.79355
0.88007,1.2214
0.98196,0.89889
1.1831,1.2797
0.99916,1.0165
1.0432,0.93133
1.1466,1.1304
1.1496,0.76095
0.94137,0.87459
0.93592,0.76382
0.92247,1.0772
0.83603,0.61663
1.0767,0.97837
0.91266,0.72444
0.94669,1.2762
0.98009,0.96797
1.0492,0.87269
0.94504,0.76619
0.91674,0.98815
0.87122,1.3048
0.97568,0.74678
0.88289,0.7622
1.0464,1.0828
0.92682,1.4727
0.9536,1.1159
0.90717,1.0166
1.1297,1.0118
0.881,1.1742
1.0743,0.86895
0.86597,0.89328
1.0146,0.95112
0.98211,1.3793
1.0615,0.76028
0.99898,0.99146
1.0638,1.1703
1.058,1.0279
1.0614,1.1675
0.83091,0.694
0.9693,0.58495
0.83754,1.1393
0.97782,0.75207
1.0357,1.0139
0.95065,0.90234
1.2328,0.93425
0.87871,0.95096
1.1153,0.87065
0.97155,0.77397
0.95181,1.3303
0.93534,1.1406
0.951,1.2874
0.94434,1.0613
0.9319,0.78004
0.88851,0.99717
0.97601,0.77024
0.87784,0.95075
0.91388,0.89641
0.8903,1.3068
1.1049,1.1201
0.89927,0.81446
0.99738,0.80378
0.98238,0.95157
1.0988,1.0379
1.1706,0.94186
0.94683,0.91768
0.9728,0.98324
1.0278,1.1391
0.89593,0.61375
1.0082,0.98978
0.90384,0.83076
1.1162,0.99636
0.88447,0.88549
1.1345,1.0859
0.93193,1.4114
0.80711,1.1956
0.9426,1.0707
0.94335,0.94586
1.0925,1.0748
0.99167,1.0514
0.86013,1.1043
1.0874,0.71431
1.038,1.2334
1.0135,1.042
0.88115,0.78643
0.91386,1.0125
0.91993,1.2316
0.96599,1.07
1.1346,0.97486
0.94654,0.77374
1.0925,0.95798
0.87638,0.74466
0.93091,1.0353
1.0855,1.0112
1.0399,1.0001
0.94531,0.81496
1.0315,1.1013
1.1759,1.04
0.90426,1.0806
0.77717,1.0814
0.9941,1.1444
1.0709,1.2433
1.1592,0.82333
0.94662,0.92767
1.1373,0.52626
1.05,1.0414
0.97501,0.88803
0.9788,1.0678
1.0366,0.76105
1.1792,0.62271
0.95363,0.87363
0.95938,0.84773
1.0591,0.56809
1.1472,1.0545
0.9483,1.175
1.1925,0.85285
0.98989,0.76481
1.0342,0.94705
